DATE TIME OPEN HIGH LOW CLOSE VOL
221013 170000 971.4600000 971.8400000 964.6100000 965.3700000 32125690
221013 180000 965.3100000 969.8200000 964.9900000 968.3400000 29252549
221014 100000 974.7400000 975.7100000 969.0000000 974.9400000 63358695
221014 110000 974.8700000 977.7900000 968.6100000 971.8700000 47672246
221014 120000 971.8300000 972.6700000 966.8700000 969.6100000 38053959
221014 130000 969.5800000 975.2300000 969.0500000 970.9800000 26338264
221014 140000 971.1200000 974.1800000 966.4700000 973.9500000 32768908
221014 150000 973.9000000 979.1900000 973.8300000 978.3800000 31312410
221014 160000 978.2800000 985.2000000 976.9100000 981.8100000 86606902
221014 170000 981.8400000 989.9600000 980.4000000 989.3800000 30593978
221014 180000 989.5300000 994.7300000 989.1600000 990.6600000 28895040
221017 100000 990.2500000 1001.5700000 989.3100000 999.8700000 81411534
221017 110000 999.8800000 1015.7400000 999.8800000 1014.1300000 65370591
221017 120000 1014.0400000 1019.4500000 1011.3900000 1018.1600000 71921927
221017 130000 1018.3700000 1020.8600000 1013.9700000 1020.5600000 71530160
221017 140000 1020.5800000 1023.0700000 1016.4600000 1020.0400000 68315363
221017 150000 1020.1100000 1020.7300000 1012.8700000 1016.2100000 44231228
221017 160000 1016.3100000 1025.1400000 1015.1400000 1023.5100000 48533742
221017 170000 1023.6100000 1027.4200000 1021.2700000 1026.5500000 45233133
221017 180000 1026.4800000 1029.0300000 1026.2100000 1027.8300000 28730537
221018 100000 1033.7600000 1036.9700000 1026.3800000 1029.7700000 135747785
221018 110000 1029.6800000 1029.9900000 1020.1500000 1029.9500000 73086750
221018 120000 1029.9100000 1039.3300000 1025.9500000 1036.1400000 72790109
221018 130000 1036.0900000 1042.1500000 1033.6500000 1039.7800000 45182683
221018 140000 1039.7300000 1039.9400000 1031.5000000 1036.1200000 48468821
221018 150000 1036.0400000 1037.0300000 1030.6500000 1035.5200000 35477513
221018 160000 1035.4300000 1037.7400000 1031.4100000 1037.4700000 45603770
221018 170000 1037.8200000 1044.8800000 1037.0500000 1039.3400000 60775046
221018 180000 1039.0500000 1041.8800000 1038.6700000 1039.7600000 32618502
221019 100000 1013.8300000 1022.6700000 1002.1000000 1002.2600000 162873655
221019 110000 1002.2900000 1013.4400000 1001.5400000 1009.5500000 71011605
221019 120000 1009.6000000 1011.6100000 1000.7000000 1004.8000000 50162428
221019 130000 1004.6800000 1013.2700000 1003.3000000 1009.2900000 34026033
221019 140000 1009.3400000 1024.4100000 1001.3100000 1021.2600000 109517221
221019 150000 1021.4600000 1022.8400000 1008.7800000 1012.3100000 70633055
221019 160000 1012.3200000 1015.2900000 1010.7700000 1012.1600000 31696993
221019 170000 1012.1700000 1012.4800000 1005.9100000 1006.1500000 25981742
221019 180000 1006.0500000 1010.2400000 1006.0400000 1010.2400000 25637435
221020 100000 1021.7800000 1027.7500000 1016.5100000 1027.5100000 103558103
221020 110000 1027.9600000 1029.5300000 1024.6100000 1027.9100000 43088060
221020 120000 1027.9500000 1035.1300000 1027.9500000 1034.5600000 75995176
221020 130000 1034.5500000 1036.2300000 1032.9100000 1034.3400000 68978067
221020 140000 1034.3800000 1041.3100000 1032.9700000 1041.2200000 54320893
221020 150000 1041.4600000 1045.5600000 1036.5100000 1038.3600000 83793521
221020 160000 1038.4500000 1039.9500000 1030.8300000 1032.7400000 51776908
221020 170000 1032.4700000 1043.8200000 1032.3800000 1043.3700000 61728625
221020 180000 1043.2800000 1043.3000000 1038.0300000 1041.5600000 41838968
221021 100000 1037.9500000 1038.0300000 1027.0400000 1034.4600000 117079432
221021 110000 1034.3700000 1041.6200000 1030.7900000 1031.4700000 87058172
221021 120000 1031.5000000 1036.7500000 1030.2200000 1036.5200000 51342199
221021 130000 1036.4200000 1045.7700000 1035.2800000 1043.7700000 84078652
221021 140000 1043.7400000 1050.5500000 1040.4600000 1049.5000000 40578384
221021 150000 1049.4200000 1049.4800000 1046.0100000 1046.1100000 36406707
221021 160000 1046.2600000 1054.6400000 1046.2600000 1054.6000000 66391274
221021 170000 1054.8500000 1055.9000000 1050.9500000 1051.9300000 58605509
221021 180000 1051.9800000 1052.4300000 1049.1900000 1050.5700000 33332742
221024 100000 1069.3000000 1076.6400000 1063.2500000 1069.1100000 150352307
221024 110000 1069.3100000 1069.3100000 1058.4800000 1063.2700000 81300491
221024 120000 1063.1400000 1066.9200000 1057.7300000 1066.2200000 58954144
221024 130000 1066.1100000 1067.8100000 1062.8100000 1063.9600000 35362853
221024 140000 1063.9500000 1065.3800000 1056.2300000 1056.6300000 58459528
221024 150000 1056.4100000 1061.6000000 1055.4000000 1057.2500000 38666127
221024 160000 1057.1400000 1064.9000000 1057.0400000 1061.6900000 46977772
221024 170000 1061.8400000 1063.4400000 1057.6700000 1062.3200000 39652519
221024 180000 1062.4000000 1062.6600000 1059.5600000 1062.6600000 23634793
221025 100000 1060.2800000 1066.0800000 1057.1700000 1062.6600000 86421367
221025 110000 1062.8600000 1069.0600000 1061.4700000 1068.6900000 74687307
221025 120000 1068.9300000 1078.1800000 1068.9300000 1075.6300000 127240144
221025 130000 1075.8100000 1076.4700000 1071.7200000 1074.5000000 60766453
221025 140000 1074.6100000 1078.9700000 1073.1600000 1078.8900000 49045025
221025 150000 1078.9100000 1081.1800000 1078.0200000 1078.5800000 54020477
221025 160000 1078.3300000 1087.0000000 1078.3300000 1086.4400000 68237817
221025 170000 1086.2600000 1089.6100000 1083.6400000 1085.0100000 116087867
221025 180000 1085.0100000 1090.9600000 1084.0700000 1090.9600000 59855279
221026 100000 1090.2800000 1090.3800000 1077.3800000 1086.0100000 122350248
221026 110000 1086.1300000 1098.5700000 1086.1300000 1098.4200000 133470743
221026 120000 1098.3800000 1098.3900000 1086.7800000 1088.0400000 73801449
221026 130000 1088.0900000 1089.9800000 1081.5800000 1082.2600000 85255865
221026 140000 1082.1700000 1085.5000000 1076.0700000 1083.5400000 90530809
221026 150000 1082.9200000 1088.8200000 1082.1800000 1086.2900000 60457048
221026 160000 1086.3300000 1087.9400000 1082.0600000 1082.0600000 36026886
221026 170000 1081.8000000 1089.5300000 1081.7100000 1089.5300000 39616920
221026 180000 1089.5600000 1094.9500000 1088.5900000 1088.5900000 42972580
221027 100000 1092.5000000 1098.6100000 1086.6000000 1098.2300000 129186433
221027 110000 1098.2700000 1106.9800000 1097.7400000 1104.6900000 102812341
221027 120000 1104.9100000 1109.3700000 1104.4600000 1105.4300000 76840461
221027 130000 1105.4600000 1111.8800000 1105.4600000 1107.5200000 85090666
221027 140000 1107.5900000 1107.8900000 1100.4000000 1100.5500000 77475111
221027 150000 1100.3600000 1106.1400000 1100.3600000 1104.8300000 49235447
221027 160000 1105.0200000 1107.5800000 1104.0200000 1104.4500000 50703745
221027 170000 1104.6100000 1108.3400000 1104.1800000 1106.6800000 53339007
221027 180000 1106.7800000 1106.7800000 1101.1600000 1105.7100000 40282857
221028 100000 1101.8400000 1104.1200000 1089.9100000 1094.4200000 141584762
221028 110000 1094.3800000 1099.6200000 1093.4300000 1098.1300000 85791955
221028 120000 1097.9900000 1102.1400000 1095.5300000 1102.1400000 58107370
221028 130000 1102.0300000 1111.1900000 1099.2100000 1111.1900000 58540416
221028 140000 1111.1400000 1112.9200000 1100.2800000 1102.8900000 146388942
221028 150000 1102.7700000 1103.6700000 1097.8800000 1099.7900000 80163627
221028 160000 1099.7600000 1103.2300000 1099.0700000 1101.5700000 40269427
221028 170000 1101.6000000 1107.0700000 1099.1800000 1106.4900000 56146419
221028 180000 1106.4600000 1113.7500000 1104.8100000 1113.7500000 40204378
221031 100000 1109.3800000 1114.4300000 1105.7000000 1106.9400000 151585890
221031 110000 1107.0300000 1108.3300000 1099.3800000 1102.2500000 98145707
221031 120000 1101.9400000 1110.1400000 1101.2500000 1109.1400000 42866562
221031 130000 1108.9900000 1112.9500000 1107.0100000 1112.8400000 37159140
221031 140000 1112.7400000 1115.7600000 1110.9700000 1112.8300000 30126388
221031 150000 1112.8200000 1117.2100000 1111.6700000 1112.0100000 35749067
221031 160000 1112.0100000 1114.3500000 1107.4200000 1109.6200000 47791246
221031 170000 1109.4600000 1113.6100000 1105.0500000 1113.5900000 44186228
221031 180000 1113.6700000 1114.2400000 1111.3700000 1111.6800000 21978280
221101 100000 1115.3600000 1119.6100000 1113.2400000 1113.9700000 92923302
221101 110000 1114.0400000 1115.7800000 1111.3700000 1111.9400000 42015558
221101 120000 1111.8700000 1116.8700000 1110.8200000 1116.3200000 37036323
221101 130000 1116.3100000 1116.9200000 1110.5700000 1112.7000000 44008244
221101 140000 1112.5700000 1116.3000000 1111.8700000 1116.2600000 29410636
221101 150000 1116.1900000 1118.8000000 1114.1200000 1118.7900000 27822238
221101 160000 1118.6400000 1119.0100000 1115.9500000 1117.2700000 30903877
221101 170000 1117.3800000 1117.3800000 1112.8900000 1112.8900000 26609273
221101 180000 1112.8300000 1118.1900000 1112.3300000 1118.1900000 23563347
221102 100000 1115.4100000 1115.5200000 1106.6800000 1107.7100000 70703998
221102 110000 1107.6900000 1108.8900000 1106.4100000 1108.4300000 40337804
221102 120000 1108.4500000 1109.2300000 1107.1700000 1108.2300000 22304517
221102 130000 1108.4400000 1117.9300000 1108.4400000 1114.5700000 80199907
221102 140000 1114.5100000 1114.5100000 1110.7400000 1112.2700000 28249722
221102 150000 1112.2300000 1114.4300000 1111.4000000 1113.9800000 33029937
221102 160000 1113.9500000 1115.1400000 1110.3400000 1110.5400000 38959849
221102 170000 1110.4800000 1114.0100000 1110.0600000 1110.1800000 23044034
221102 180000 1110.2000000 1110.9800000 1108.6900000 1108.6900000 20021526
221103 100000 1088.3400000 1090.8800000 1080.0500000 1083.7100000 104715916
221103 110000 1083.7200000 1084.2800000 1076.7400000 1083.5800000 81005115
221103 120000 1083.5500000 1083.6400000 1079.7100000 1081.7600000 35813170
221103 130000 1081.9900000 1088.5400000 1081.8800000 1088.4700000 42002892
221103 140000 1088.4900000 1090.6000000 1086.6600000 1089.0000000 26808713
221103 150000 1088.9200000 1091.8000000 1088.2800000 1088.8300000 21726502
221103 160000 1088.8400000 1090.0800000 1086.3700000 1089.8500000 27796451
221103 170000 1089.9600000 1098.4700000 1089.0100000 1097.2800000 48413265
221103 180000 1097.3100000 1098.2600000 1092.3600000 1094.3000000 27665882
221107 100000 1113.4700000 1116.4100000 1111.5400000 1113.1000000 93268658
221107 110000 1113.2000000 1127.2100000 1113.2000000 1127.2100000 85088633
